2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,MP,ORB,PF,PTS,Player,Pos,Rk,STL,TOV,TRB,Tm,eFG%,player_key
1.8,0.485,3.6,0.6,0.243,2.5,1.0,20.0,0.3,2.0,2.4,0.386,6.1,0.5,0.519,1.0,28.0,5.0,15.1,0.4,1.7,5.8,Johnny Davis,SG,111.0,0.4,0.6,2.3,WAS,0.436,johnny davis
1.1,0.488,2.3,0.8,0.238,3.5,0.4,21.0,0.2,1.7,1.9,0.337,5.8,0.1,0.5,0.2,18.0,0.0,12.9,0.4,0.7,4.8,Johnny Juzang,SF,260.0,0.2,0.2,2.2,UTA,0.409,johnny juzang
1.5,0.421,3.5,0.5,0.4,1.4,0.5,25.0,0.4,2.6,2.0,0.415,4.8,0.5,0.556,0.8,11.0,0.0,11.3,1.4,0.5,5.0,Jonathan Isaac,PF,231.0,1.3,0.4,4.0,ORL,0.472,jonathan isaac
3.1,0.59,5.2,0.8,0.37,2.2,1.9,20.0,0.5,2.4,3.9,0.525,7.4,1.3,0.652,2.1,67.0,16.0,20.8,1.0,2.3,9.9,Jonathan Kuminga,PF,277.0,0.6,1.4,3.4,GSW,0.579,jonathan kuminga
5.0,0.53,9.4,2.5,0.338,7.5,4.4,30.0,0.2,2.9,7.5,0.444,16.9,3.3,0.816,4.0,61.0,61.0,32.6,1.2,2.0,20.8,Jordan Clarkson,SG,93.0,0.5,3.0,4.0,UTA,0.519,jordan clarkson
1.9,0.511,3.8,0.6,0.322,1.9,2.7,24.0,0.4,2.4,2.5,0.448,5.7,0.9,0.768,1.1,62.0,7.0,17.8,0.9,1.5,6.6,Jordan Goodwin,PG,168.0,0.9,0.9,3.3,WAS,0.501,jordan goodwin
0.7,0.462,1.4,0.3,0.2,1.7,1.2,21.0,0.0,1.0,1.0,0.321,3.1,0.8,0.778,1.0,9.0,0.0,9.2,0.3,0.7,3.1,Jordan Hall,SF,187.0,0.1,0.8,1.3,SAS,0.375,jordan hall
0.9,0.552,1.6,0.6,0.308,1.8,3.4,26.0,0.1,1.1,1.4,0.421,3.4,0.3,0.833,0.4,43.0,0.0,15.8,0.3,0.7,3.7,Jordan McLaughlin,PG,328.0,0.7,0.8,1.4,MIN,0.503,jordan mclaughlin
1.8666666666666665,0.453,4.033333333333333,1.4666666666666668,0.4073333333333333,3.533333333333333,1.5,24.0,0.2333333333333333,3.0,3.3333333333333335,0.4326666666666667,7.566666666666667,1.1333333333333335,0.7906666666666666,1.4333333333333333,41.333333333333336,9.333333333333334,19.833333333333332,0.8333333333333334,1.2666666666666666,9.233333333333333,Jordan Nwora,SF,368.0,0.39999999999999997,1.1,3.8333333333333335,TOT,0.5296666666666666,jordan nwora
4.1,0.524,7.8,2.6,0.336,7.8,4.5,23.0,0.3,2.4,6.7,0.43,15.6,4.4,0.87,5.1,82.0,43.0,30.0,0.4,2.6,20.4,Jordan Poole,PG,388.0,0.8,3.1,2.7,GSW,0.514,jordan poole
0.0,0.0,0.5,0.5,1.0,0.5,0.5,24.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.5,1.5,Jordan Schakel,SF,432.0,0.5,0.0,0.0,WAS,0.75,jordan schakel
1.9,0.488,4.0,1.4,0.336,4.0,3.0,24.0,0.2,1.9,3.3,0.411,8.0,1.1,0.813,1.3,61.0,10.0,21.5,0.5,2.0,9.0,Jose Alvarado,PG,9.0,1.1,1.3,2.3,NOP,0.496,jose alvarado
2.1,0.55,3.8,0.3,0.236,1.4,1.1,21.0,0.2,0.8,2.4,0.465,5.1,0.7,0.75,0.9,64.0,2.0,12.3,0.3,0.9,5.8,Josh Christopher,SG,91.0,0.5,0.9,1.1,HOU,0.497,josh christopher
